iter	Passed	Remaining
0	138	138825
1	139	69634
2	140	46558
3	140	35017
4	141	28094
5	141	23489
6	142	20199
7	142	17723
8	143	15799
9	144	14265
10	144	13011
11	145	11962
12	145	11073
13	146	10312
14	146	9651
15	147	9072
16	148	8561
17	148	8107
18	149	7701
19	149	7335
20	150	7005
21	150	6705
22	151	6430
23	152	6206
24	153	5984
25	154	5772
26	154	5572
27	155	5387
28	155	5213
29	156	5052
30	156	4901
31	157	4760
32	157	4628
33	158	4504
34	159	4386
35	159	4275
36	160	4169
37	160	4069
38	161	3974
39	161	3884
40	162	3798
41	162	3717
42	163	3639
43	164	3564
44	164	3493
45	165	3425
46	165	3361
47	166	3299
48	166	3240
49	167	3182
50	168	3126
51	168	3073
52	169	3022
53	169	2972
54	170	2924
55	170	2878
56	171	2834
57	171	2791
58	172	2749
59	172	2709
60	173	2670
61	174	2633
62	174	2596
63	175	2561
64	175	2527
65	176	2494
66	176	2462
67	177	2427
68	177	2397
69	178	2368
70	178	2339
71	179	2311
72	179	2284
73	180	2259
74	181	2233
75	181	2208
76	182	2183
77	182	2159
78	183	2136
79	183	2114
80	184	2092
81	184	2070
82	185	2049
83	186	2028
84	186	2006
85	187	1987
86	187	1966
87	187	1947
88	188	1929
89	189	1912
90	189	1894
91	190	1877
92	190	1860
93	191	1843
94	191	1827
95	192	1811
96	192	1796
97	193	1780
98	193	1765
99	194	1752
100	195	1738
101	195	1721
102	196	1707
103	196	1694
104	197	1680
105	197	1667
106	198	1654
107	198	1641
108	199	1629
109	199	1616
110	200	1604
111	200	1593
112	201	1581
113	201	1569
114	202	1558
115	202	1546
116	203	1535
117	204	1525
118	204	1513
119	205	1503
120	205	1493
121	206	1483
122	206	1471
123	206	1461
124	207	1452
125	208	1442
126	208	1433
127	208	1423
128	209	1414
129	210	1405
130	210	1396
131	211	1388
132	211	1379
133	212	1371
134	212	1363
135	213	1355
136	213	1347
137	214	1338
138	214	1330
139	215	1323
140	215	1315
141	216	1308
142	217	1300
143	217	1293
144	218	1286
145	218	1280
146	219	1273
147	219	1266
148	220	1259
149	221	1253
150	221	1246
151	222	1239
152	222	1233
153	223	1227
154	224	1221
155	224	1215
156	225	1209
157	225	1203
158	226	1197
159	226	1191
160	227	1185
161	228	1180
162	228	1174
163	229	1168
164	229	1162
165	230	1157
166	230	1151
167	231	1145
168	231	1140
169	232	1135
170	233	1129
171	233	1124
172	234	1119
173	234	1114
174	235	1108
175	235	1103
176	236	1098
177	236	1094
178	237	1089
179	238	1084
180	238	1078
181	238	1073
182	239	1069
183	239	1064
184	240	1059
185	241	1054
186	241	1050
187	242	1045
188	242	1041
189	243	1036
190	243	1032
191	244	1028
192	244	1023
193	245	1019
194	245	1015
195	246	1011
196	247	1006
197	247	1002
198	248	998
199	248	994
200	249	990
201	249	986
202	250	982
203	250	978
204	251	974
205	251	970
206	252	966
207	252	963
208	253	959
209	254	955
210	254	951
211	255	948
212	255	944
213	256	940
214	256	937
215	257	933
216	257	930
217	258	926
218	258	923
219	259	919
220	259	916
221	260	912
222	260	909
223	261	905
224	262	902
225	262	899
226	263	895
227	263	892
228	264	889
229	264	886
230	265	882
231	265	879
232	266	876
233	266	873
234	267	870
235	268	867
236	268	864
237	269	861
238	269	858
239	270	855
240	270	852
241	271	849
242	271	846
243	272	843
244	272	840
245	273	837
246	273	835
247	274	832
248	275	829
249	275	826
250	276	823
251	276	821
252	277	818
253	277	815
254	278	812
255	278	810
256	279	807
257	279	804
258	280	802
259	280	799
260	281	797
261	282	794
262	282	791
263	283	789
264	283	786
265	284	784
266	284	781
267	285	779
268	285	776
269	286	774
270	286	771
271	287	769
272	287	766
273	288	764
274	288	761
275	289	759
276	290	756
277	290	754
278	291	752
279	291	750
280	292	747
281	292	745
282	293	743
283	293	741
284	294	739
285	295	736
286	295	734
287	296	732
288	296	730
289	297	728
290	298	726
291	298	723
292	299	721
293	299	719
294	300	717
295	300	715
296	301	713
297	301	711
298	302	709
299	302	706
300	303	704
301	304	702
302	304	700
303	305	698
304	305	696
305	306	694
306	306	692
307	307	690
308	307	688
309	308	686
310	309	684
311	309	682
312	310	682
313	311	680
314	312	678
315	312	676
316	313	675
317	314	673
318	314	671
319	315	669
320	315	667
321	316	666
322	316	664
323	317	662
324	318	660
325	318	658
326	319	657
327	319	655
328	320	653
329	321	651
330	321	650
331	322	648
332	322	646
333	323	645
334	324	643
335	324	642
336	325	640
337	326	638
338	326	637
339	327	635
340	327	633
341	328	632
342	329	630
343	329	628
344	330	627
345	330	625
346	331	623
347	332	622
348	332	620
349	333	618
350	333	617
351	334	615
352	334	613
353	335	612
354	336	610
355	336	608
356	337	607
357	337	605
358	338	604
359	338	602
360	339	601
361	340	599
362	340	598
363	341	596
364	342	595
365	342	593
366	343	592
367	343	590
368	344	588
369	344	587
370	345	585
371	346	584
372	346	582
373	347	581
374	348	580
375	348	578
376	349	577
377	349	575
378	350	574
379	350	572
380	351	571
381	352	569
382	352	568
383	353	566
384	354	565
385	354	564
386	355	562
387	355	561
388	356	560
389	357	558
390	357	557
391	358	556
392	359	554
393	359	553
394	360	551
395	360	550
396	361	548
397	362	547
398	362	546
399	363	544
400	363	543
401	364	541
402	364	540
403	365	539
404	366	537
405	366	536
406	367	535
407	368	534
408	368	532
409	369	531
410	369	530
411	370	528
412	371	527
413	371	526
414	372	524
415	372	523
416	373	522
417	374	520
418	374	519
419	375	518
420	375	516
421	376	515
422	377	514
423	377	513
424	378	511
425	378	510
426	379	509
427	379	507
428	380	506
429	381	505
430	381	504
431	382	502
432	383	501
433	383	500
434	384	499
435	385	498
436	385	496
437	386	495
438	386	494
439	387	493
440	388	491
441	388	490
442	389	489
443	389	488
444	390	487
445	391	485
446	391	484
447	392	483
448	392	482
449	393	480
450	394	479
451	394	478
452	395	477
453	396	476
454	396	475
455	397	473
456	397	472
457	398	471
458	398	470
459	399	468
460	400	467
461	400	466
462	401	465
463	401	464
464	402	463
465	403	461
466	403	460
467	404	459
468	404	458
469	405	457
470	406	456
471	406	454
472	407	453
473	407	452
474	408	451
475	409	450
476	409	449
477	410	448
478	411	447
479	411	446
480	412	444
481	412	443
482	413	442
483	414	441
484	414	440
485	415	439
486	416	438
487	416	437
488	417	435
489	417	434
490	418	433
491	418	432
492	419	431
493	420	430
494	420	429
495	421	428
496	421	427
497	422	425
498	423	424
499	423	423
500	424	422
501	425	421
502	425	420
503	426	419
504	427	418
505	427	417
506	428	416
507	429	415
508	429	414
509	430	413
510	431	412
511	431	411
512	432	410
513	432	409
514	433	408
515	434	407
516	434	406
517	435	404
518	435	403
519	436	402
520	437	401
521	437	400
522	438	399
523	438	398
524	439	397
525	439	396
526	440	395
527	441	394
528	441	393
529	442	392
530	442	391
531	443	389
532	443	388
533	444	388
534	445	387
535	446	386
536	449	387
537	451	387
538	451	386
539	452	385
540	453	384
541	454	383
542	454	382
543	455	381
